# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length,nec_actual
GCF_001027005.1,PRJNA224116,SAMN02866457,,na,796385,2208,Methanosarcina barkeri CM1,strain=CM1,,latest,Complete Genome,Major,Full,2015/06/03,ASM102700v1,PGgRc,GCA_001027005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/027/005/GCF_001027005.1_ASM102700v1,,,3.0,1.0,3430.0,4501171.0,,,39.17802722891443,,,,,
GCF_000007065.1,PRJNA224116,SAMN02603290,,na,192952,2209,Methanosarcina mazei Go1,strain=Go1,,latest,Complete Genome,Major,Full,2002/05/20,ASM706v1,Gottingen Genomics Laboratory,GCA_000007065.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/065/GCF_000007065.1_ASM706v1,,,3.0,1.0,3317.0,4096345.0,GCF_000007065.1_Methanosarcina mazei Go1_strain=Go1,0.5750220359159477,41.484909107997495,356.0,@GCF_000007065.1_Methanosarcina_mazei_Go1_strain_Go1,144.0,1e-06,407.0
GCF_000970165.1,PRJNA224116,SAMN03074586,,na,1434117,2209,Methanosarcina mazei WWM610,strain=WWM610,,latest,Complete Genome,Major,Full,2015/04/07,ASM97016v1,University of Illinois at Urbana-Champaign,GCA_000970165.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/165/GCF_000970165.1_ASM97016v1,,,3.0,1.0,3285.0,4096482.0,GCF_000970165.1_Methanosarcina mazei WWM610_strain=WWM610,0.5802706630274657,41.45742615248889,357.0,@GCF_000970165.1_Methanosarcina_mazei_WWM610_strain_WWM610,135.0,0.00111312,225.0
GCF_000970185.1,PRJNA224116,SAMN03074584,,na,1434115,2209,Methanosarcina mazei SarPi,strain=SarPi,,latest,Complete Genome,Major,Full,2015/04/07,ASM97018v1,University of Illinois at Urbana-Champaign,GCA_000970185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/185/GCF_000970185.1_ASM97018v1,,,3.0,1.0,3246.0,4066551.0,,,41.487048852946884,,,,,
GCF_000970205.1,PRJNA224116,SAMN03074583,,representative genome,213585,2209,Methanosarcina mazei S-6,strain=S-6,,latest,Complete Genome,Major,Full,2015/04/07,ASM97020v1,University of Illinois at Urbana-Champaign,GCA_000970205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/205/GCF_000970205.1_ASM97020v1,,assembly from type material,3.0,1.0,3338.0,4142816.0,,,41.42071479882283,,,,,
GCF_000970225.1,PRJNA224116,SAMN03074582,,na,1434114,2209,Methanosarcina mazei LYC,strain=LYC,,latest,Complete Genome,Major,Full,2015/04/07,ASM97022v1,University of Illinois at Urbana-Champaign,GCA_000970225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/225/GCF_000970225.1_ASM97022v1,,,3.0,1.0,3348.0,4154344.0,,,41.39057815144822,,,,,
GCF_000970245.1,PRJNA224116,SAMN03074581,,na,1434113,2209,Methanosarcina mazei C16,strain=C16,,latest,Complete Genome,Major,Full,2015/04/07,ASM97024v1,University of Illinois at Urbana-Champaign,GCA_000970245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/245/GCF_000970245.1_ASM97024v1,,assembly from synonym type material,3.0,1.0,3312.0,4166241.0,,,41.487614374684526,,,,,
GCF_000969885.1,PRJNA224116,SAMN03074597,,representative genome,523844,2210,Methanosarcina thermophila TM-1,strain=TM-1,,latest,Complete Genome,Major,Full,2015/04/07,ASM96988v1,University of Illinois at Urbana-Champaign,GCA_000969885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/885/GCF_000969885.1_ASM96988v1,,assembly from type material,3.0,1.0,2588.0,3127379.0,GCF_000969885.1_Methanosarcina thermophila TM-1_strain=TM-1,0.5876644438288812,41.14998533916101,353.0,@GCF_000969885.1_Methanosarcina_thermophila_TM-1_strain_TM-1,115.0,0.0220897,103.0
GCF_000007345.1,PRJNA224116,SAMN03081414,,representative genome,188937,2214,Methanosarcina acetivorans C2A,strain=C2A,,latest,Complete Genome,Major,Full,2002/04/03,ASM734v1,Broad Institute,GCA_000007345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/345/GCF_000007345.1_ASM734v1,,assembly from type material,3.0,1.0,4492.0,5751492.0,GCF_000007345.1_Methanosarcina acetivorans C2A_strain=C2A,0.5845926917398842,42.68089045416389,354.0,@GCF_000007345.1_Methanosarcina_acetivorans_C2A_strain_C2A,132.0,0.00706354,189.0
GCF_000969905.1,PRJNA224116,SAMN03074598,,representative genome,1434123,2215,Methanosarcina vacuolata Z-761,strain=Z-761,,latest,Complete Genome,Major,Full,2015/04/07,ASM96990v1,University of Illinois at Urbana-Champaign,GCA_000969905.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/905/GCF_000969905.1_ASM96990v1,,assembly from type material,3.0,2.0,3518.0,4563885.0,GCF_000969905.1_Methanosarcina vacuolata Z-761_strain=Z-761,0.5981692470659397,39.71283237855467,362.0,@GCF_000969905.1_Methanosarcina_vacuolata_Z-761_strain_Z-761,120.0,0.00109882,112.0
GCF_000204415.1,PRJNA224116,SAMN02604263,,representative genome,990316,2223,Methanothrix soehngenii GP6,strain=GP6,,latest,Complete Genome,Major,Full,2011/04/15,ASM20441v1,University of Wisconsin-Parkside,GCA_000204415.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/415/GCF_000204415.1_ASM20441v1,,assembly from synonym type material,2.0,2.0,2850.0,3026645.0,GCF_000204415.1_Methanothrix soehngenii GP6_strain=GP6,0.6783522820208969,50.98780993476275,335.0,@GCF_000204415.1_Methanothrix_soehngenii_GP6_strain_GP6,127.0,0.1286,283.0
GCF_000970325.1,PRJNA224116,SAMN03074571,,representative genome,1434104,2226,Methanococcoides methylutens MM1,strain=MM1,,latest,Complete Genome,Major,Full,2015/04/07,ASM97032v1,University of Illinois at Urbana-Champaign,GCA_000970325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/325/GCF_000970325.1_ASM97032v1,,,3.0,1.0,2245.0,2394636.0,GCF_000970325.1_Methanococcoides methylutens MM1_strain=MM1,0.6351267427631067,44.02322524174864,345.0,@GCF_000970325.1_Methanococcoides_methylutens_MM1_strain_MM1,110.0,0.0171711,95.0
GCF_000008665.1,PRJNA224116,SAMN02603985,,representative genome,224325,2234,Archaeoglobus fulgidus DSM 4304,strain=DSM 4304,,latest,Complete Genome,Major,Full,1999/12/22,ASM866v1,TIGR,GCA_000008665.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/665/GCF_000008665.1_ASM866v1,,assembly from type material,1.0,1.0,2359.0,2178400.0,GCF_000008665.1_Archaeoglobus fulgidus DSM 4304_strain=DSM 4304,0.7883169530854195,48.581665442526635,208.0,@GCF_000008665.1_Archaeoglobus_fulgidus_DSM_4304_strain_DSM_4304,109.0,1e-06,157.0
GCF_000734035.1,PRJNA224116,SAMN03081472,,na,1344584,2234,Archaeoglobus fulgidus DSM 8774,strain=DSM 8774,,latest,Complete Genome,Major,Full,2014/07/28,ASM73403v1,University Bergen,GCA_000734035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/734/035/GCF_000734035.1_ASM73403v1,,,1.0,1.0,2490.0,2316287.0,GCF_000734035.1_Archaeoglobus fulgidus DSM 8774_strain=DSM 8774,0.7980814169714514,48.07651210752381,209.0,@GCF_000734035.1_Archaeoglobus_fulgidus_DSM_8774_strain_DSM_8774,108.0,0.00117062,143.0
GCF_000011085.1,PRJNA224116,SAMN02603385,,na,272569,2238,Haloarcula marismortui ATCC 43049,strain=ATCC 43049,,latest,Complete Genome,Major,Full,2004/11/02,ASM1108v1,Institute for Systems Biology,GCA_000011085.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/085/GCF_000011085.1_ASM1108v1,,assembly from type material,3.0,9.0,4134.0,4274642.0,GCF_000011085.1_Haloarcula marismortui ATCC 43049_strain=ATCC 43049,0.3475065126918407,61.118802463457754,265.0,@GCF_000011085.1_Haloarcula_marismortui_ATCC_43049_strain_ATCC_43049,162.0,0.00954659,431.0
GCF_000006805.1,PRJNA224116,SAMN02604216,,representative genome,64091,2242,Halobacterium salinarum NRC-1,strain=NRC-1; ATCC 700922,,latest,Complete Genome,Major,Full,2001/01/09,ASM680v1,"University of Massachusetts-Amherst, University of Washington",GCA_000006805.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/006/805/GCF_000006805.1_ASM680v1,,,1.0,3.0,2403.0,2571010.0,GCF_000006805.1_Halobacterium salinarum NRC-1_strain=NRC-1; ATCC 700922,0.6213230303353992,65.93350473160352,302.0,@GCF_000006805.1_Halobacterium_salinarum_NRC-1_strain_NRC-1__ATCC_700922,132.0,0.0358361,190.0
GCF_000069025.1,PRJNA224116,SAMEA3138275,,na,478009,2242,Halobacterium salinarum R1,strain=DSM 671 = R1,,latest,Complete Genome,Major,Full,2008/02/12,ASM6902v1,Max Planck Institute,GCA_000069025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/025/GCF_000069025.1_ASM6902v1,,,1.0,5.0,2550.0,2668776.0,,,65.71057293680697,,,,,
GCF_000025685.1,PRJNA224116,SAMN02604027,,representative genome,309800,2246,Haloferax volcanii DS2,strain=DS2,,latest,Complete Genome,Major,Full,2010/03/23,ASM2568v1,TIGR,GCA_000025685.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/685/GCF_000025685.1_ASM2568v1,,assembly from type material,2.0,5.0,3827.0,4012900.0,GCF_000025685.1_Haloferax volcanii DS2_strain=DS2,0.5208608705040946,65.47990231503401,245.0,@GCF_000025685.1_Haloferax_volcanii_DS2_strain_DS2,0.0,1e-06,223.0
GCF_000022205.1,PRJNA224116,SAMN02598407,,representative genome,416348,2247,Halorubrum lacusprofundi ATCC 49239,strain=ATCC 49239,,latest,Complete Genome,Major,Full,2009/02/04,ASM2220v1,US DOE Joint Genome Institute (JGI-PGF),GCA_000022205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/205/GCF_000022205.1_ASM2220v1,,assembly from type material,3.0,3.0,3389.0,3692576.0,GCF_000022205.1_Halorubrum lacusprofundi ATCC 49239_strain=ATCC 49239,0.424777630335863,63.97198053608105,223.0,@GCF_000022205.1_Halorubrum_lacusprofundi_ATCC_49239_strain_ATCC_49239,138.0,0.0108402,235.0
GCF_000306765.2,PRJNA224116,SAMN02603397,,representative genome,523841,2252,Haloferax mediterranei ATCC 33500,strain=CGMCC 1.2087,,latest,Complete Genome,Major,Full,2014/05/27,ASM30676v2,"Institute of Microbiology, Chinese Academy of Sciences",GCA_000306765.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/306/765/GCF_000306765.2_ASM30676v2,,assembly from type material,2.0,4.0,3758.0,3904707.0,GCF_000306765.2_Haloferax mediterranei ATCC 33500_strain=CGMCC 1.2087,0.4983760684730575,60.27092429726481,247.0,@GCF_000306765.2_Haloferax_mediterranei_ATCC_33500_strain_CGMCC_1.2087,149.0,0.0241876,209.0
GCF_000026045.1,PRJNA224116,SAMEA3138222,,representative genome,348780,2257,Natronomonas pharaonis DSM 2160,strain=Gabara,,latest,Complete Genome,Major,Full,2005/09/28,ASM2604v1,Max Planck Institute,GCA_000026045.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/045/GCF_000026045.1_ASM2604v1,,assembly from type material,1.0,3.0,2702.0,2749696.0,GCF_000026045.1_Natronomonas pharaonis DSM 2160_strain=Gabara,0.6811297050853471,63.11966850153617,313.0,@GCF_000026045.1_Natronomonas_pharaonis_DSM_2160_strain_Gabara,160.0,0.0147716,612.0
GCF_000007305.1,PRJNA224116,SAMN02604284,,representative genome,186497,2261,Pyrococcus furiosus DSM 3638,strain=DSM 3638,,latest,Complete Genome,Major,Full,2002/02/27,ASM730v1,Utah Genome Center,GCA_000007305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/305/GCF_000007305.1_ASM730v1,,assembly from type material,1.0,1.0,1962.0,1908256.0,GCF_000007305.1_Pyrococcus furiosus DSM 3638_strain=DSM 3638,0.8700966819124504,40.76989670149079,189.0,@GCF_000007305.1_Pyrococcus_furiosus_DSM_3638_strain_DSM_3638,122.0,0.00476412,241.0
GCF_000275605.1,PRJNA224116,SAMN02603219,,na,1185654,2261,Pyrococcus furiosus COM1,strain=COM1,,latest,Complete Genome,Major,Full,2012/06/29,ASM27560v1,ENIGMA- Ecosystems and Networks Integrated with Genes and Molecular Assemblies,GCA_000275605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/275/605/GCF_000275605.1_ASM27560v1,,,1.0,1.0,1976.0,1909827.0,,,40.78688802703072,,,,,
GCF_002214365.1,PRJNA224116,SAMN03324154,,representative genome,1293037,2264,Thermococcus celer Vu 13 = JCM 8558,strain=Vu 13,,latest,Complete Genome,Major,Full,2017/07/05,ASM221436v1,Ecole Normale Superieure de Lyon,GCA_002214365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/365/GCF_002214365.1_ASM221436v1,,assembly from type material,1.0,1.0,1909.0,1866819.0,GCF_002214365.1_Thermococcus celer Vu 13 = JCM 8558_strain=Vu 13,0.885518281367169,56.44751847929553,142.0,@GCF_002214365.1_Thermococcus_celer_Vu_13___JCM_8558_strain_Vu_13,107.0,0.00368918,42.0
GCF_000246985.2,PRJNA224116,SAMN02603679,,representative genome,523849,2265,Thermococcus litoralis DSM 5473,strain=DSM 5473,,latest,Complete Genome,Major,Full,2013/08/13,ASM24698v3,"New England Biolabs, Inc.",GCA_000246985.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/246/985/GCF_000246985.2_ASM24698v3,,assembly from type material,1.0,1.0,2298.0,2215172.0,GCF_000246985.2_Thermococcus litoralis DSM 5473_strain=DSM 5473,0.9136850904105428,43.08717336622168,198.0,@GCF_000246985.2_Thermococcus_litoralis_DSM_5473_strain_DSM_5473,104.0,0.00421088,1.0
GCF_000015225.1,PRJNA224116,SAMN02598366,,na,368408,2269,Thermofilum pendens Hrk 5,strain=Hrk 5,,latest,Complete Genome,Major,Full,2006/12/18,ASM1522v1,DOE Joint Genome Institute,GCA_000015225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/225/GCF_000015225.1_ASM1522v1,,,1.0,2.0,1866.0,1813393.0,GCF_000015225.1_Thermofilum pendens Hrk 5_strain=Hrk 5,0.8088963751952383,57.64613627603062,43.0,@GCF_000015225.1_Thermofilum_pendens_Hrk_5_strain_Hrk_5,83.0,0.0272266,123.0
GCF_000253055.1,PRJNA224116,SAMEA2272453,,na,768679,2271,Thermoproteus tenax Kra 1,strain=Kra 1,,latest,Complete Genome,Major,Full,2011/10/06,ASM25305v1,"University of Duisburg-Essen, Faculty of Chemistry, Molecular Enzyme Technology and Biochemistry",GCA_000253055.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/055/GCF_000253055.1_ASM25305v1,,assembly from type material,1.0,1.0,1957.0,1841542.0,GCF_000253055.1_Thermoproteus tenax Kra 1_strain=Kra 1,0.5688277073465808,55.12825664578924,52.0,@GCF_000253055.1_Thermoproteus_tenax_Kra_1_strain_Kra_1,138.0,0.0228234,426.0
